KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:2	And the earth was without form, and void; and darkness [was] upon the face of the deep. And the Spirit of God moved upon the face of the waters.
Genesis 1:3	And God said, 


and there was light.
Genesis 1:4	And God saw the light, that [it was] good: and God divided the light from the darkness.
Genesis 1:5	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.
Genesis 1:6	And God said,

Genesis 1:7	And God made the firmament, and divided the waters which [were] under the firmament from the waters which [were] above the firmament: and it was so.
Genesis 1:8	And God called the firmament Heaven. And the evening and the morning were the second day.
Genesis 1:9	And God said,

and it was so.
Genesis 1:12	And the earth brought forth grass, [and] herb yielding seed after his kind, and the tree yielding fruit, whose seed [was] in itself, after his kind: and God saw that [it was] good.
Genesis 1:13	And the evening and the morning were the third day.
Genesis 1:14	And God said,

Genesis 1:16	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also.
Genesis 1:17	And God set them in the firmament of the heaven to give light upon the earth,
Genesis 1:18	And to rule over the day and over the night, and to divide the light from the darkness: and God saw that [it was] good.
Genesis 1:19	And the evening and the morning were the fourth day.
Genesis 1:20	And God said,


Genesis 1:23	And the evening and the morning were the fifth day.
Genesis 1:24	And God said,

and it was so.
Genesis 1:25	And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that [it was] good.
Genesis 1:26	And God said,

Genesis 1:27	So God created man in his [own] image, in the image of God created he him; male and female created he them.
Genesis 1:28	And God blessed them, and God said unto them,

Genesis 1:29	And God said,

and it was so.


Genesis 1:31	And God saw every thing that he had made, and, behold, [it was] very good. And the evening and the morning were the sixth day.
Genesis 2:1	Thus the heavens and the earth were finished, and all the host of them.
Genesis 2:2	And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
Genesis 2:3	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.
Genesis 2:4	These [are] the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,
Genesis 2:5	And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and [there was] not a man to till the ground.
Genesis 2:6	But there went up a mist from the earth, and watered the whole face of the ground.
Genesis 2:7	And the LORD God formed man [of] the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
Genesis 2:8	And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
